brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
57566.0,for_sale,114900.0,3.0,2.0,0.24,615512.0,Albert Lea,Minnesota,56007.0,1600.0,2020-05-21
19439.0,for_sale,194900.0,3.0,2.0,0.33,942161.0,Albert Lea,Minnesota,56007.0,3470.0,2008-07-25
33714.0,for_sale,69900.0,3.0,2.0,0.14,634786.0,Albert Lea,Minnesota,56007.0,2099.0,2012-02-24
79077.0,for_sale,350000.0,2.0,3.0,0.34,896059.0,Albert Lea,Minnesota,56007.0,2501.0,1997-05-29
19439.0,for_sale,775000.0,3.0,5.0,1.34,930072.0,Albert Lea,Minnesota,56007.0,5794.0,2001-04-16
3664.0,for_sale,84500.0,4.0,3.0,0.14,226256.0,Albert Lea,Minnesota,56007.0,2975.0,2001-12-27
52969.0,for_sale,199900.0,3.0,2.0,0.12,634207.0,Albert Lea,Minnesota,56007.0,3360.0,2006-06-22
19439.0,for_sale,139900.0,2.0,3.0,0.19,1188056.0,Albert Lea,Minnesota,56007.0,2114.0,2019-10-24
83315.0,for_sale,145000.0,4.0,3.0,0.15,1468724.0,Albert Lea,Minnesota,56007.0,3156.0,2020-12-14
57566.0,for_sale,599900.0,3.0,4.0,0.76,403380.0,Albert Lea,Minnesota,56007.0,5184.0,2004-03-05
57566.0,for_sale,230000.0,3.0,2.0,0.19,350572.0,Albert Lea,Minnesota,56007.0,2406.0,2019-11-14
76742.0,for_sale,153000.0,3.0,1.0,0.15,133219.0,Albert Lea,Minnesota,56007.0,1993.0,2021-03-08
57566.0,for_sale,34900.0,1.0,2.0,0.21,1698639.0,Albert Lea,Minnesota,56007.0,1140.0,2016-08-05
79077.0,for_sale,225000.0,3.0,2.0,0.27,133625.0,Albert Lea,Minnesota,56007.0,1984.0,2017-09-05
79077.0,for_sale,120000.0,4.0,3.0,0.21,1202036.0,Albert Lea,Minnesota,56007.0,3306.0,2001-12-20
5309.0,for_sale,149900.0,3.0,2.0,0.14,1165948.0,Albert Lea,Minnesota,56007.0,1972.0,2021-09-20
83296.0,for_sale,224900.0,4.0,2.0,0.11,1598750.0,Albert Lea,Minnesota,56007.0,1920.0,2021-08-11
19439.0,for_sale,1050000.0,4.0,4.0,0.88,744805.0,Albert Lea,Minnesota,56007.0,5376.0,2016-07-05
33714.0,for_sale,34900.0,2.0,1.0,0.17,1210072.0,Albert Lea,Minnesota,56007.0,1451.0,2009-04-16
33714.0,for_sale,90000.0,2.0,2.0,0.15,348734.0,Albert Lea,Minnesota,56007.0,1872.0,2000-06-01
33714.0,for_sale,144900.0,3.0,3.0,0.15,1337060.0,Albert Lea,Minnesota,56007.0,2092.0,2004-08-23
22323.0,for_sale,149900.0,4.0,2.0,0.18,655445.0,Albert Lea,Minnesota,56007.0,2681.0,2021-07-29
33714.0,for_sale,89900.0,3.0,1.0,0.23,771848.0,Albert Lea,Minnesota,56007.0,2028.0,2006-03-01
33714.0,for_sale,132900.0,3.0,2.0,0.14,1331581.0,Albert Lea,Minnesota,56007.0,2336.0,2007-10-29
33714.0,for_sale,169900.0,3.0,1.0,0.32,614770.0,Albert Lea,Minnesota,56007.0,1126.0,2021-06-03
85250.0,for_sale,149999.0,3.0,2.0,0.13,452516.0,Albert Lea,Minnesota,56007.0,1664.0,2019-12-02
79077.0,for_sale,100000.0,5.0,2.0,0.19,1350937.0,Albert Lea,Minnesota,56007.0,2152.0,2011-04-22
76742.0,for_sale,169900.0,3.0,2.0,0.23,37086.0,Albert Lea,Minnesota,56007.0,1779.0,2021-09-09
19439.0,for_sale,119000.0,2.0,2.0,0.16,492394.0,Albert Lea,Minnesota,56007.0,1204.0,2007-02-08
79077.0,for_sale,269900.0,3.0,2.0,0.12,1466319.0,Albert Lea,Minnesota,56007.0,2664.0,2019-12-18
19439.0,for_sale,49900.0,3.0,2.0,0.2,872305.0,Alden,Minnesota,56009.0,1156.0,2018-08-31
57566.0,for_sale,159900.0,4.0,2.0,0.17,1404996.0,Wells,Minnesota,56097.0,3586.0,2019-07-18
33714.0,for_sale,79900.0,2.0,1.0,0.15,612941.0,Alden,Minnesota,56009.0,1248.0,2001-07-02
79077.0,for_sale,85000.0,3.0,1.0,0.14,689947.0,Alden,Minnesota,56009.0,1460.0,2017-07-06
78470.0,for_sale,359900.0,4.0,4.0,0.52,1210952.0,Wells,Minnesota,56097.0,4069.0,1994-12-01
13165.0,for_sale,135000.0,4.0,5.0,0.32,1663752.0,Wells,Minnesota,56097.0,2704.0,2012-12-28
33596.0,for_sale,192900.0,3.0,2.0,0.16,1402928.0,Wells,Minnesota,56097.0,2819.0,2007-01-04
95597.0,for_sale,169500.0,4.0,3.0,0.16,894592.0,Wells,Minnesota,56097.0,1832.0,2020-11-09
13165.0,for_sale,59500.0,3.0,2.0,0.16,1437061.0,Wells,Minnesota,56097.0,1320.0,1998-05-01
22323.0,for_sale,102900.0,4.0,3.0,0.22,624605.0,Freeborn,Minnesota,56032.0,2800.0,2019-06-03
15942.0,for_sale,159900.0,2.0,2.0,0.24,1337864.0,Fairmont,Minnesota,56031.0,2370.0,2015-06-15
33596.0,for_sale,125000.0,2.0,1.0,0.2,983106.0,Fairmont,Minnesota,56031.0,1800.0,1992-08-14
31320.0,for_sale,139900.0,2.0,1.0,0.17,1350983.0,Fairmont,Minnesota,56031.0,2294.0,2017-08-31
15165.0,for_sale,123900.0,2.0,1.0,0.11,1773495.0,Fairmont,Minnesota,56031.0,1580.0,2021-03-05
102144.0,for_sale,164900.0,3.0,2.0,0.11,407940.0,Fairmont,Minnesota,56031.0,1920.0,2011-03-30
79987.0,for_sale,369000.0,3.0,2.0,0.41,426681.0,Fairmont,Minnesota,56031.0,2656.0,2021-10-15
15942.0,for_sale,139900.0,3.0,2.0,0.22,128487.0,Fairmont,Minnesota,56031.0,3000.0,2014-11-25
33597.0,for_sale,215300.0,4.0,3.0,0.32,977410.0,Welcome,Minnesota,56181.0,3432.0,2016-11-22
79987.0,for_sale,84900.0,3.0,1.0,0.13,1211084.0,Fairmont,Minnesota,56031.0,1580.0,2018-03-23
33596.0,for_sale,150000.0,4.0,2.0,0.32,1500494.0,Fairmont,Minnesota,56031.0,2506.0,2015-04-13
15942.0,for_sale,112500.0,3.0,2.0,0.12,681755.0,Fairmont,Minnesota,56031.0,2253.0,2016-01-14
2782.0,for_sale,147900.0,3.0,3.0,0.2,407938.0,Fairmont,Minnesota,56031.0,2160.0,2022-04-29
79987.0,for_sale,255000.0,3.0,2.0,0.95,571270.0,Fairmont,Minnesota,56031.0,2520.0,2021-12-06
79987.0,for_sale,419900.0,3.0,3.0,0.78,427667.0,Fairmont,Minnesota,56031.0,3058.0,2002-01-18
31376.0,for_sale,75000.0,3.0,1.0,0.31,100037.0,Ceylon,Minnesota,56121.0,2676.0,1997-08-26
33596.0,for_sale,79900.0,3.0,1.0,0.15,638531.0,Fairmont,Minnesota,56031.0,1535.0,2008-05-29
33597.0,for_sale,54900.0,3.0,1.0,0.3,366589.0,Dunnell,Minnesota,56127.0,2198.0,1999-11-22
33597.0,for_sale,21900.0,3.0,1.0,0.18,923523.0,Dunnell,Minnesota,56127.0,1081.0,2012-02-03
23857.0,for_sale,599900.0,3.0,2.0,0.24,1188094.0,Fairmont,Minnesota,56031.0,3364.0,1998-10-07
79987.0,for_sale,399000.0,5.0,3.0,0.94,1564120.0,Fairmont,Minnesota,56031.0,2357.0,2022-05-27
