price,bed,bath,acre_lot,city,house_size
600000.0,5.0,3.0,0.27,Mahtomedi,4337.0
524900.0,4.0,4.0,0.21,Woodbury,3423.0
619900.0,4.0,3.0,0.2,Lake Elmo,4042.0
339000.0,5.0,3.0,0.23,Saint Paul,2200.0
225000.0,4.0,2.0,0.11,South Saint Paul,1344.0
324900.0,2.0,2.0,0.27,Stillwater,2196.0
274900.0,2.0,2.0,0.17,Saint Paul,1800.0
275000.0,5.0,2.0,0.11,Saint Paul,1134.0
255000.0,3.0,2.0,0.11,Saint Paul,1429.0
375000.0,4.0,3.0,0.38,Newport,2794.0
369900.0,2.0,4.0,0.03,Woodbury,2208.0
265000.0,2.0,1.0,0.14,Oakdale,1254.0
250000.0,3.0,2.0,0.03,Maplewood,1585.0
410000.0,3.0,3.0,0.05,Oakdale,3795.0
334900.0,2.0,2.0,0.08,Woodbury,1504.0
339000.0,3.0,2.0,0.24,Oakdale,2784.0
465000.0,3.0,3.0,0.31,Woodbury,1967.0
449900.0,4.0,3.0,0.35,Woodbury,2240.0
224500.0,3.0,2.0,0.04,Maplewood,1550.0
144900.0,2.0,1.0,0.1,Saint Paul,1512.0
285000.0,3.0,3.0,0.1,Oakdale,1636.0
292000.0,2.0,2.0,0.58,Woodbury,1262.0
344900.0,3.0,2.0,0.21,Stillwater,1634.0
265000.0,2.0,2.0,0.12,Oakdale,1325.0
359900.0,5.0,2.0,0.2,West Saint Paul,3712.0
625000.0,3.0,3.0,0.16,Lake Elmo,3402.0
649000.0,3.0,4.0,0.42,Woodbury,3522.0
349900.0,4.0,2.0,0.32,Oakdale,1875.0
465000.0,4.0,4.0,0.3,Woodbury,2977.0
600000.0,5.0,4.0,0.41,Woodbury,4124.0
385000.0,3.0,3.0,0.2,Oakdale,2305.0
385000.0,4.0,2.0,0.21,Newport,2134.0
680000.0,5.0,4.0,0.34,Woodbury,3985.0
310000.0,2.0,2.0,0.06,Woodbury,1350.0
400000.0,3.0,3.0,0.47,Lakeland,2823.0
365000.0,4.0,4.0,0.11,Saint Paul,3780.0
380000.0,4.0,3.0,0.17,North Saint Paul,2043.0
285000.0,4.0,2.0,0.16,Saint Paul,1682.0
590900.0,2.0,2.0,0.36,Woodbury,1592.0
439000.0,2.0,2.0,0.04,Saint Paul,1494.0
265000.0,3.0,3.0,0.03,Woodbury,1825.0
350000.0,2.0,2.0,0.04,Saint Paul,1371.0
349900.0,2.0,2.0,0.13,Oak Park Heights,2826.0
261100.0,2.0,2.0,0.14,Oakdale,1233.0
269900.0,3.0,2.0,0.24,Stillwater,1525.0
250000.0,3.0,1.0,0.22,North Saint Paul,2112.0
174900.0,3.0,2.0,0.14,Saint Paul,1008.0
514900.0,2.0,2.0,0.19,Woodbury,1724.0
315000.0,4.0,2.0,0.09,Woodbury,1920.0
349900.0,2.0,2.0,0.18,Woodbury,1600.0
319900.0,4.0,2.0,0.27,Maplewood,2356.0
325000.0,3.0,2.0,0.11,South Saint Paul,1846.0
525000.0,3.0,3.0,0.26,Woodbury,3278.0
708115.0,4.0,3.0,0.23,Stillwater,1812.0
185000.0,2.0,1.0,0.12,Saint Paul,1664.0
200000.0,3.0,1.0,0.11,Saint Paul,1538.0
299000.0,2.0,2.0,0.27,White Bear Lake,1114.0
220000.0,2.0,2.0,0.03,Saint Paul,1462.0
325000.0,3.0,2.0,0.25,Woodbury,2740.0
515000.0,2.0,2.0,0.15,Lake Elmo,1716.0
259990.0,3.0,2.0,0.09,Saint Paul,1530.0
215000.0,3.0,1.0,0.11,Saint Paul,900.0
189900.0,2.0,1.0,0.12,Saint Paul,1440.0
220000.0,3.0,3.0,0.14,Saint Paul,1500.0
196000.0,3.0,2.0,0.02,Saint Paul,1240.0
249900.0,2.0,2.0,0.14,Woodbury,1540.0
270000.0,3.0,2.0,0.19,Saint Paul,2184.0
287777.0,4.0,3.0,0.15,Saint Paul,2576.0
375000.0,4.0,2.0,0.39,Woodbury,2560.0
675000.0,5.0,4.0,0.21,Woodbury,4006.0
375000.0,4.0,2.0,0.2,Woodbury,2340.0
285000.0,4.0,3.0,0.16,Saint Paul,2254.0
289900.0,3.0,2.0,0.24,Maplewood,2080.0
275000.0,3.0,2.0,0.16,Saint Paul,1389.0
450000.0,5.0,3.0,0.27,Woodbury,2361.0
610000.0,3.0,3.0,0.26,Lake Elmo,2596.0
725000.0,4.0,3.0,0.35,Woodbury,4303.0
